"Accession","Mean","Median","Number of peptides","P-Value"
"P32246","0.023384692390694749","0.023384692390694749","2","0.24982382920309701"
"O43795","0.26040208582187202","0.26040208582187202","2","0.27934313092309077"
"Q9P0L0","0.1598635827428215","0.1598635827428215","2","0.89278679045995135"
"Q9ULQ1","0.089901703396489854","0.089901703396489854","2","0.60012173037624295"
"Q8N4L2","0.244873409920388","0.244873409920388","2","0.34951908031781564"
"Q9Y2R0","0.070063782276189701","0.070063782276189701","2","0.47702900728007291"
"P54756","0.46699650864617087","0.49401410338241197","7","1.484797453147996e-08"
"O94826","0.042106924568396757","0.033822242866908797","8","0.051318305596231885"
"Q04637","0.19073983313168325","0.184768530348351","8","0.39464224312986551"
"P49821","0.06076541969938816","0.053797617745719901","5","0.20665849527180841"
"Q96G23","0.037531838216271651","0.037531838216271651","2","0.30890572465740984"
"P07919","0.19891242103276199","0.19891242103276199","2","0.61524824885270823"
"Q9UNK0","0.175360312700239","0.17016215602151052","4","0.69133901833285361"
"Q9UHB9","0.140662926115008","0.140662926115008","2","0.96324484917291708"
"P41250","-0.0054671993635358497","-0.0054671993635358497","2","0.15486999358628414"
"P07910","0.069974969614020402","0.069974969614020402","2","0.4765113518421733"
"P41252","0.056127365685897823","0.096808382174789098","5","0.18290345371117181"
"P61981","0.17996700874827398","0.18326037213794499","3","0.69137277928967722"
"Q8IW52","0.304208183217202","0.32496525182000802","3","0.067213225474813149"
"Q9UBM7","0.10838159829506826","0.100378615119689","5","0.57982208000950108"
"P53674","0.45740588090068668","0.18520849503016401","3","0.00032268953900868065"
"Q12931","0.073520181364539597","0.081203325886357494","5","0.28333931479031338"
"P02545","0.1289486856509699","0.100376908884993","5","0.80465775012072649"
"Q9Y679","0.048261128575579654","0.048261128575579654","2","0.35942678175273313"
"P11233","0.11644819173243501","0.11644819173243501","2","0.78395143815414725"
"P55786","0.18200913218122","0.18200913218122","2","0.73131354705367879"
"Q29RF7","0.16180638522700699","0.145338701897129","3","0.85128213119754381"
"Q9HB71","0.0022347720131720705","0.086688400691225645","4","0.056260325857509626"
"Q9Y673","0.011223568124374","0.011223568124374","2","0.20575423881154858"
"Q9NP72","0.14314750024291076","0.14759638879572101","6","0.96866684412558868"
"P13747","0.212431632123918","0.212431632123918","2","0.52875183806020554"
"Q8WTV0","0.52354762311419301","0.52354762311419301","2","0.00037052770024104191"
"Q15393","-0.015973463808793678","0.065824498912628801","5","0.016157629117499829"
"P62258","0.15845952635167199","0.16988013491144549","8","0.80792651426094531"
"Q15436","0.052869804010809159","0.052869804010809159","2","0.38263824987153938"
"Q9NP79","0.16368436500952324","0.16368436500952324","2","0.86440733951994719"
"P13667","0.081282169865668552","0.081282169865668552","2","0.54490053468104804"
"Q9HAV4","0.15459012992488599","0.15459012992488599","2","0.9321775436015316"
"P62879","0.15238902534386001","0.13263060261594051","6","0.91122418144936079"
"P29992","0.15131932911784032","0.13385369882592199","3","0.9469807125068701"
"P05387","0.1024071205976062","0.11961665822559051","4","0.56543903074551805"
"P52799","0.49882176301467829","0.49911030818101998","4","2.5348945012797453e-06"
"Q99653","0.12773283459203424","0.15100299831249001","4","0.8123359388581376"
